episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-2464.0,-18596.0,-5712.144578313253,1001.0,4,4000,False,84000,83,21,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-31-11,1565595071,11.79617691040039,251.5107617378235,68841,omnisky,10.12.131.114,251.5107617378235,84000,21,0.5750701825975277,0.10429778832524919,0.6137000767876852,83328,84000,4880.591,2.674,6895.385,6.231,32.256249999999994,16.35,0.30000001192092896,4.999999873689376e-05,47592.715,-0.041330867,47592.746,0.065869436,0.015547906,1.7591538,0.0
-2464.0,-18596.0,-5619.83908045977,1001.0,4,4000,False,88000,87,22,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-31-24,1565595084,12.179548978805542,263.690310716629,68841,omnisky,10.12.131.114,263.690310716629,88000,22,0.5735497823324698,0.1042216250472992,0.6127505779267175,87296,88000,4941.449,2.683,6903.524,6.52,31.59444444444444,16.372222222222224,0.30000001192092896,4.999999873689376e-05,29025.799,-0.03708906,29025.832,0.07583469,0.015559536,1.7776201,0.0
-2464.0,-18596.0,-5529.087912087912,1001.0,4,4000,False,92000,91,23,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-31-35,1565595095,11.787674903869629,275.47798562049866,68841,omnisky,10.12.131.114,275.47798562049866,92000,23,0.5721108181287574,0.10415045683967376,0.6118600883508235,91264,92000,4940.483,2.702,6909.094,6.656,31.129411764705885,16.423529411764704,0.30000001192092896,4.999999873689376e-05,40558.984,-0.033025004,40559.01,0.08459753,0.013037242,1.7505924,0.0
-2464.0,-18596.0,-5446.4315789473685,1001.0,4,4000,False,96000,95,24,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-31-48,1565595108,12.249377489089966,287.7273631095886,68841,omnisky,10.12.131.114,287.7273631095886,96000,24,0.5707914114170418,0.10409331834142695,0.6111004311904701,95232,96000,4992.974,2.617,6931.2,7.274,31.547058823529415,16.311764705882354,0.30000001192092896,4.999999873689376e-05,27753.658,-0.032615855,27753.686,0.08952375,0.015315934,1.7287253,0.0
-2464.0,-18596.0,-5376.292929292929,1001.0,4,4000,False,100000,99,25,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-31-59,1565595119,11.285529851913452,299.0128929615021,68841,omnisky,10.12.131.114,299.0128929615021,100000,25,0.5695166560789311,0.10402903673568886,0.6103644441116133,99200,100000,4971.922,2.625,6878.13,7.354,31.78125,16.4125,0.30000001192092896,4.999999873689376e-05,43041.785,-0.041803643,43041.83,0.100746825,0.01798706,1.7381941,0.0
-2464.0,-15330.0,-4971.75,1001.0,4,4000,False,104000,103,26,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-32-11,1565595131,11.98271107673645,310.9956040382385,68841,omnisky,10.12.131.114,310.9956040382385,104000,26,0.5638015994492424,0.10356642190710005,0.606083887191033,103168,104000,4978.792,2.619,6876.559,7.318,31.341176470588234,16.4,0.30000001192092896,4.999999873689376e-05,20916.893,-0.030715762,20916.92,0.13770545,0.013459988,1.7179002,0.0
-2213.0,-12376.0,-4623.23,1001.0,4,4000,False,108000,107,27,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-32-23,1565595143,12.015251159667969,323.0108551979065,68841,omnisky,10.12.131.114,323.0108551979065,108000,27,0.559440695248495,0.10335737818867086,0.6032905400359634,107136,108000,4994.273,2.447,6885.217,7.244,31.77647058823529,16.447058823529414,0.30000001192092896,4.999999873689376e-05,21423.416,-0.034971036,21423.443,0.21086477,0.014468526,1.7168549,0.0
-2213.0,-10283.0,-4336.88,1001.0,4,4000,False,112000,111,28,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-32-35,1565595155,11.756675243377686,334.7675304412842,68841,omnisky,10.12.131.114,334.7675304412842,112000,28,0.5559890204840837,0.10317289133185997,0.6011294707669903,111104,112000,4972.754,2.425,6879.782,7.03,31.50588235294117,16.370588235294118,0.30000001192092896,4.999999873689376e-05,13186.007,-0.034117036,13186.038,0.24570514,0.011931779,1.6998549,0.0
-2213.0,-9098.0,-4121.52,1001.0,4,4000,False,116000,115,29,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-32-47,1565595167,11.861032485961914,346.6285629272461,68841,omnisky,10.12.131.114,346.6285629272461,116000,29,0.5530916999320795,0.10301278472883361,0.5993520957960081,115072,116000,4960.519,2.495,6884.353,7.147,32.73529411764706,16.441176470588236,0.30000001192092896,4.999999873689376e-05,25863.967,-0.037519258,25863.998,0.2578338,0.016952064,1.669574,0.0
-2213.0,-9098.0,-3953.66,1001.0,4,4000,False,120000,119,30,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-32-58,1565595178,11.736276865005493,358.3648397922516,68841,omnisky,10.12.131.114,358.3648397922516,120000,30,0.5502717675032952,0.10281021184178724,0.5976491714794051,119040,120000,4963.057,2.51,6881.383,7.227,32.06470588235294,16.535294117647055,0.30000001192092896,4.999999873689376e-05,19015.705,-0.032278035,19015.734,0.24033827,0.012994896,1.6594168,0.0
-2213.0,-6522.0,-3810.23,1001.0,4,4000,False,124000,123,31,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-33-10,1565595190,11.498452186584473,369.86329197883606,68841,omnisky,10.12.131.114,369.86329197883606,124000,31,0.5480380307686217,0.10266462278738046,0.5964328312121785,123008,124000,4933.269,2.438,6881.029,7.372,31.125,16.5125,0.30000001192092896,4.999999873689376e-05,16249.842,-0.034516305,16249.869,0.24598685,0.013678414,1.5993181,0.0
-2213.0,-6428.0,-3699.05,1001.0,4,4000,False,128000,127,32,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-33-22,1565595202,11.93449592590332,381.7977879047394,68841,omnisky,10.12.131.114,381.7977879047394,128000,32,0.5462362924775703,0.10258059628895648,0.595575704139082,126976,128000,4904.705,2.371,6885.903,7.035,33.188235294117646,16.535294117647055,0.30000001192092896,4.999999873689376e-05,10457.253,-0.028837513,10457.276,0.2959779,0.011360485,1.6042236,0.0
-2213.0,-6428.0,-3635.53,1001.0,4,4000,False,132000,131,33,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-33-34,1565595214,11.949148893356323,393.7469367980957,68841,omnisky,10.12.131.114,393.7469367980957,132000,33,0.5446390820300864,0.10250885320020138,0.5948138685458827,130944,132000,4935.31,2.3,6871.658,6.796,32.205882352941174,16.705882352941174,0.30000001192092896,4.999999873689376e-05,20727.56,-0.034057103,20727.592,0.3265953,0.014215613,1.5871559,0.0
-2177.0,-6428.0,-3579.23,1001.0,4,4000,False,136000,135,34,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-33-45,1565595225,11.617610692977905,405.3645474910736,68841,omnisky,10.12.131.114,405.3645474910736,136000,34,0.5432470785569411,0.10245518947093615,0.5941536960484944,134912,136000,4889.118,2.267,6854.772,6.205,32.176470588235304,16.747058823529414,0.30000001192092896,4.999999873689376e-05,11541.045,-0.030891653,11541.071,0.35971382,0.010319386,1.5749636,0.0
-2177.0,-6428.0,-3511.71,1001.0,4,4000,False,140000,139,35,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-33-58,1565595238,12.356814861297607,417.7213623523712,68841,omnisky,10.12.131.114,417.7213623523712,140000,35,0.5421863761307903,0.10244545889844588,0.5936978123346287,138880,140000,4962.258,2.371,6889.202,6.089,35.46666666666667,16.822222222222223,0.30000001192092896,4.999999873689376e-05,10444.917,-0.035292234,10444.949,0.38896984,0.011585987,1.5683227,0.0
-2005.0,-5832.0,-3427.14,1001.0,4,4000,False,144000,143,36,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-34-10,1565595250,12.042906999588013,429.76426935195923,68841,omnisky,10.12.131.114,429.76426935195923,144000,36,0.5412419713855228,0.10243131271087626,0.5932956429876998,142848,144000,4974.812,2.344,6883.589,5.826,32.01176470588235,16.9,0.30000001192092896,4.999999873689376e-05,12572.881,-0.03122757,12572.909,0.3637027,0.010882021,1.5925211,0.0
-2005.0,-5832.0,-3367.55,1001.0,4,4000,False,148000,147,37,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-34-22,1565595262,11.897673845291138,441.66194319725037,68841,omnisky,10.12.131.114,441.66194319725037,148000,37,0.540484990316382,0.10243872765694721,0.5931007147127433,146816,148000,4974.862,2.296,6871.941,5.912,32.2235294117647,16.85882352941176,0.30000001192092896,4.999999873689376e-05,7762.362,-0.029590609,7762.3877,0.3494831,0.012868989,1.5552319,0.0
-2005.0,-5832.0,-3279.72,1001.0,4,4000,False,152000,151,38,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-34-34,1565595274,11.814244270324707,453.4761874675751,68841,omnisky,10.12.131.114,453.4761874675751,152000,38,0.5398006574427048,0.10245105988455806,0.5929796948372815,150784,152000,4973.666,2.327,6878.88,5.866,33.27058823529413,16.870588235294115,0.30000001192092896,4.999999873689376e-05,8511.566,-0.030864155,8511.596,0.4227604,0.01081167,1.5716388,0.0
-2005.0,-5832.0,-3219.45,1001.0,4,4000,False,156000,155,39,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-34-45,1565595285,11.496634483337402,464.9728219509125,68841,omnisky,10.12.131.114,464.9728219509125,156000,39,0.5392616968504261,0.10248862325523767,0.5929917888060499,154752,156000,4978.555,2.291,6837.051,5.884,31.35625,16.8625,0.30000001192092896,4.999999873689376e-05,5815.19,-0.026789973,5815.213,0.3282718,0.013370829,1.5296346,0.0
-1781.0,-5832.0,-3168.34,1001.0,4,4000,False,160000,159,40,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-34-57,1565595297,12.107583045959473,477.08040499687195,68841,omnisky,10.12.131.114,477.08040499687195,160000,40,0.5387761268748408,0.10252822414868927,0.5930316327039516,158720,160000,5009.447,2.138,6843.765,5.94,33.17058823529412,16.81764705882353,0.30000001192092896,4.999999873689376e-05,8965.176,-0.029394025,8965.199,0.38051334,0.012491012,1.5395961,0.0
-1781.0,-5832.0,-3125.65,1001.0,4,4000,False,164000,163,41,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-35-09,1565595309,12.129971027374268,489.2103760242462,68841,omnisky,10.12.131.114,489.2103760242462,164000,41,0.5383381933755195,0.1025609457117233,0.5930660336849976,162688,164000,5078.616,2.076,6838.042,5.911,32.166666666666664,16.900000000000002,0.30000001192092896,4.999999873689376e-05,6859.9214,-0.0336734,6859.951,0.39487207,0.012841825,1.5141251,0.0
